"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"259","brazil",15,3023,"change_in_emissions:3029",-1.47588430780923,"cost",806526.134351738,9
"260","brazil",15,3023,"change_in_emissions:3027",-1.3462344875964,"cost",74708338.0189381,1
"261","brazil",15,3023,"change_in_emissions:3027",-1.38384651765962,"cost",75598992.6475737,5
"262","brazil",15,3023,"change_in_emissions:3025",-22.2124845623309,"cost",1535464910.32172,5
"263","brazil",15,3023,"change_in_emissions:3025",-21.6087639715893,"cost",1406900377.78295,1
"264","brazil",15,3023,"change_in_emissions:3027",-1.35778664715185,"cost",56477169.6651421,3
"265","brazil",16,3023,"change_in_emissions:3027",-1.72600783045021,"cost",175559007.828596,10
"266","brazil",16,3023,"change_in_emissions:3029",-1.22173320247506,"cost",1103562.74144781,11
"267","brazil",16,3023,"change_in_emissions:3029",-1.65941356456353,"cost",2008389.97351361,8
"268","brazil",16,3023,"change_in_emissions:3025",-26.1890192367793,"cost",1185441352.82441,4
"269","brazil",16,3023,"change_in_emissions:3025",-26.6974721852657,"cost",2565614641.39026,2
"270","brazil",16,3023,"change_in_emissions:3025",-26.782557633916,"cost",1865600406.48177,5
"271","brazil",16,3023,"change_in_emissions:3029",-2.0064542455757,"cost",887284.917159933,4
"272","brazil",16,3023,"change_in_emissions:3027",-1.6850571801761,"cost",68595062.6051792,3
"273","brazil",16,3023,"change_in_emissions:3029",-1.8222056831992,"cost",868337.244843719,9
"274","brazil",16,3023,"change_in_emissions:3029",-1.61442206707302,"cost",1324455.20725694,7
"275","brazil",16,3023,"change_in_emissions:3027",-1.71263539032913,"cost",79760615.824172,2
"276","brazil",16,3023,"change_in_emissions:3027",-1.67306502562609,"cost",120890085.21686,6
"277","brazil",16,3023,"change_in_emissions:3029",-1.24355502679377,"cost",644399.410001848,10
"278","brazil",16,3023,"change_in_emissions:3027",-1.70365099788283,"cost",114994635.061094,7
"279","brazil",16,3023,"change_in_emissions:3025",-26.0394105124912,"cost",1708395391.65179,1
"280","brazil",16,3023,"change_in_emissions:3029",-1.92286621360418,"cost",1491289.06141281,3
"281","brazil",16,3023,"change_in_emissions:3025",-26.2675683641503,"cost",3303647123.97398,3
"282","brazil",16,3023,"change_in_emissions:3027",-1.68001827557564,"cost",71938943.6328094,4
"283","brazil",16,3023,"change_in_emissions:3029",-2.16566032777614,"cost",1366248.7203857,1
"284","brazil",16,3023,"change_in_emissions:3027",-1.7180935981156,"cost",91856887.676296,5
"285","brazil",16,3023,"change_in_emissions:3029",-1.37484052589901,"cost",918108.936471625,5
"286","brazil",16,3023,"change_in_emissions:3027",-1.72732330694076,"cost",94120261.594094,11
"287","brazil",16,3023,"change_in_emissions:3027",-1.7009387930571,"cost",143162314.272524,8
"288","brazil",16,3023,"change_in_emissions:3025",-26.0806282750058,"cost",1963488355.47728,6
"289","brazil",16,3023,"change_in_emissions:3029",-1.46538418233575,"cost",770823.795478258,2
"290","brazil",16,3023,"change_in_emissions:3029",-2.12179845729875,"cost",1260662.5980807,6
"291","brazil",16,3023,"change_in_emissions:3025",-26.51513940031,"cost",1418406785.4703,8
"292","brazil",16,3023,"change_in_emissions:3027",-1.67042091766326,"cost",90721684.6607478,1
"293","brazil",16,3023,"change_in_emissions:3025",-26.5574186929748,"cost",2339864690.43498,7
"294","brazil",16,3023,"change_in_emissions:3025",-26.3621608152169,"cost",1672972618.45654,9
"295","brazil",16,3023,"change_in_emissions:3025",-26.9059289006866,"cost",1603260114.43693,10
"296","brazil",16,3023,"change_in_emissions:3027",-1.69112525951449,"cost",62430135.3473219,9
"297","brazil",16,3023,"change_in_emissions:3025",-26.9264352485148,"cost",1283469598.4861,11
"298","brazil",17,3023,"change_in_emissions:3027",-2.04344281026723,"cost",169242213.965695,8
"299","brazil",17,3023,"change_in_emissions:3027",-2.01807014643487,"cost",85033977.5706125,4
"300","brazil",17,3023,"change_in_emissions:3027",-2.06425286655051,"cost",108601041.290132,5
"301","brazil",17,3023,"change_in_emissions:3025",-31.6460377823529,"cost",2204623986.12806,5
"302","brazil",17,3023,"change_in_emissions:3027",-2.02418084195722,"cost",81083728.4365897,3
"303","brazil",17,3023,"change_in_emissions:3025",-31.7932400461554,"cost",1894695369.1556,10
